Д/Д,Цооногийн дугаар,Интервал,Дээжийн дугаар,Минераграфи,SEM-EDX,ABM selected,Rock type,Петрографи,New Lithology by Petrographic,Alteration,HOLE_ID,SAMPLE_ID,Petrographic sample,DEPTH_FROM,DEPTH_TO,SAMPLE THICK,ROCK TYPE,SAMPLE_ID,Recvd Wt. kg,Au ppm,Pt ppm,Pd ppm,Cu ppm,Cu %,Ni ppm,Ni %,P ppm,Pb ppm,S %,Sb ppm,Sc ppm,Sr ppm,Th ppm,Ti %,Tl ppm,U ppm,V ppm,W ppm,Zn ppm,Ce ppm,Nb ppm,Rb ppm,Se ppm,Sn ppm,Ta ppm,Te ppm,Y ppm,Zr ppm,Hg ppm,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,Total %,LOI 1000 %
Д/Д,Цооногийн дугаар,Интервал,Дээжийн дугаар,Минераграфи,SEM-EDX,ABM selected,Rock type,Петрографи,New Lithology by Petrographic,Alteration,HOLE_ID,SAMPLE_ID,Petrographic sample,DEPTH_FROM,DEPTH_TO,SAMPLE THICK,ROCK TYPE,SAMPLE_ID,WEI-21,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,OA-GRA05x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CRS02,55,43570,,,x,,Breccia ,Метасоматоз хувиралд хүчтэй орсон андезидацит   ,,CRS02,43570,ok,55,56.75,1.75,Metasediment,43570,,<0.01,<0.01,<0.01,58,,37,,1380,5,0.57,<5,13,59,<20,0.17,<10,<10,58,<10,53,<50,<5,<20,<10,<10,<10,<10,20,18,,,,,,,,,,,,,,,,,
22,CRS02,89.9,43598,,,,,Metasediment  - Gabbrodiorite,эпидот-хлоритын метасоматит - diorite,,CRS02,43598,ok,89,90,1,Breccia ,43598,,<0.01,<0.01,0.01,56,,200,,520,10,0.06,<5,35,218,<20,0.24,<10,<10,199,<10,60,60,<5,30,<10,<10,<10,<10,10,28,,,,,,,,,,,,,,,,,
23,CRS03,17.7,43632,+,,x,,Gabbrodiorite,Gabbrodiorite,,CRS03,43632,ok,17,18,1,Metasediment ,43632,,<0.01,0.01,0.02,290,,76,,140,2,0.78,<5,34,92,<20,0.17,<10,<10,219,<10,108,<50,<5,<20,10,<10,<10,<10,10,19,,,,,,,,,,,,,,,,,
24,CRS03,51.8,43664,,,x,,Gabbrodiorite,Gabbrodiorite,,CRS03,43664,ok,51.86,52.5,0.64,Epidote vein,43664,,<0.01,<0.01,0.01,8,,38,,70,3,0.01,<5,27,178,<20,0.09,<10,<10,175,<10,15,50,<5,<20,<10,<10,<10,<10,<10,9,,,,,,,,,,,,,,,,,
25,CRS03,89.4,43689,,,,,Gabbrodiorite,Андезитын туф ,,CRS03,43689,ok,88,90,2,Metasediment,43689,,<0.01,<0.01,0.01,7,,41,,150,<2,<0.01,<5,39,147,<20,0.18,<10,10,245,<10,43,50,<5,<20,<10,<10,<10,10,10,16,,,,,,,,,,,,,,,,,
26,OVD035,47.4,46336,+,,x,,Hb Peridotite, Пикрит ,,OVD035,46336,ok,46.15,48,1.85,Gabbrodiorite,46336,8.05,<0.01,<0.01,<0.01,68,,235,,770,5,0.23,<5,21,722,<20,0.42,<10,<10,168,<10,57,70,<5,30,<10,<10,<10,<10,20,64,,14.26,0.02,8.84,0.05,7.83,1.1,8.34,0.13,2.05,0.15,0.53,46.14,0.07,0.69,97.37,7.08
27,OVD035,58.5,46342,+,,x,,Olivine Gabbro,Olivine Gabbro,altered,OVD035,46342,ok,56.8,58.8,2,Gabbrodiorite,46342,8.01,<0.01,<0.01,<0.01,65,,307,,620,2,0.43,<5,24,552,<20,0.41,<10,<10,174,<10,58,60,<5,20,<10,<10,<10,<10,10,55,,14.16,0.02,8.49,0.06,8.33,1.23,9.92,0.13,1.84,0.13,0.98,45.53,0.06,0.66,98.71,7.06
28,OVD036,29.4,46363,,,x,,Altereted Gabbrodiorite,Карбонатын метасоматит ,,OVD036,46363,ok,27.7,29.7,2,Gabbrodiorite,46363,,<0.01,<0.01,<0.01,82,,195,,840,3,0.01,5,19,540,<20,0.42,<10,<10,153,<10,44,70,<5,40,<10,,<10,<10,10,63,,14.3,0.01,8.3,0.04,7.76,1.1,6.43,0.12,1.4,0.18,<0.01,45.11,0.06,0.69,98.44,12.85
29,OVD036,89.2,46369,+,,x,,Px Hb Gabbro,,,OVD036,46369,ok,88,90,2,Gabbrodiorite,46369,,<0.01,<0.01,<0.01,60,,75,,720,3,0.15,<5,23,246,<20,0.36,<10,<10,193,<10,67,50,<5,30,<10,,<10,<10,10,41,,15.56,0.01,5.84,0.06,9.96,0.27,6.87,0.19,5.19,0.21,0.44,51.18,0.04,0.75,100.7,4.05
30,OVD036,108.8,46381,+,,x,,Olivine Gabbro,Olivine Gabbro,,OVD036,46381,ok,108.5,109.96,1.46,Hb Peridotite,46381,,0.05,0.04,0.06,2550,,2910,,770,8,2.43,<5,15,283,<20,0.39,<10,<10,103,<10,93,50,<5,40,10,,10,<10,10,64,,8.16,<0.01,4.98,0.14,15.27,0.29,20.9,0.16,0.59,0.17,5.81,39.58,0.03,0.64,105.5,7.97
31,OVD036,121.5,46393,+,,,,Altereted Gabbrodiorite,Альбит-биотитын роговик ,,OVD036,46393,ok,121.5,123,1.5,Olivine Gabbro,46393,,0.15,0.07,0.08,3190,,1065,,1050,31,0.84,<5,18,449,<20,0.54,<10,10,140,<10,82,60,<5,<20,<10,,10,<10,20,92,,11.95,0.02,5.86,0.12,11.94,0.82,15.1,0.15,1.85,0.24,2.1,44.56,0.05,0.9,101.85,5.53
