Arrived chips,#,Drillhole,Sample interval,Sample Number ,Petrographer,Year,Sample type,Sample type,Sample type,Sample type,Sample type,Sample type,Sample type,Field Lithology description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,,,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,PbO %,CuO %,V2O5 %,ZnO %,Total %,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
Arrived chips,#,Drillhole,Sample interval,Sample Number ,Petrographer,Year,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,EDS,EPMA,Field Lithology description,Micro - description,Texture,Rock forming minerals,Alteration,Ore minerals and paragenesis,Brief petrographic description,,,Microscope - Rock name,Sc vs Al plot,,,,,,,,,,,,,,,,,,,,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
x,9,CRS01A,CRS01A-124.1,CRS01A-124.1,,,X,,x,,,,,Meta sedimentary. Primary magnetite pyrrhotite alteration replaced by late phyllic alteration,"Mineralized, silicified serpentine-actinolite-cordierite metasomatite",,,,,,,,Cor-Serp-Act Metasomatite,,,,,,,,,,,,,,,,,,,,,68,1739.9999999999998,0.24,,,,7.24,2,680,0.1,0.41,0.24,0.52,48.9,194,10.9,11.9,0.37,42,6.34,864,7.27,0.17,0.005,22.1,4.5,,60.7,0.6,0.13,0.84,0.42,217,0.5,331,18.9,9,12.7,1.7,0.13,,0.5,3,0.69,,0.14,6.2,35.8,1.2,3.25,,,,,,0.14,,,,,1,0.16
x,10,CRS01A,CRS01A-184.32,CRS01A-184.32,,,X,,x,,,,,"MMS with intense APHY alteration. ASER can be seen on the fractures, mineralization mostly Py with poorly disseminated CPY. ","Mineralized, silicified serpentine-chlorite-cordierite metasomatite",,,,,,,,Serp-Chl-Cord Metasomatite,,,,,,,,,,,,,,,,,,,,,128,2140,0.14,,,,4.54,5,261,0.1,0.3,0.56,0.15,107,379,11.49,13,0.37,51,7.21,1071,3.44,0.14,0.005,9.6,3.21,,36.8,0.3,0.17,0.61,0.23,244,0.5,69,13.9,14,13.6,2.7,0.06,,0.38,2,0.48,,0.13,6,34,1.3,3.2,,,,,,0.13,,,,,0.9,0.14
x,11,CRS01A,CRS01A-187.8,CRS01A-187.8,,,X,,x,,x,,,"Intensely APHY altered MMS with A type veins on the 188.35m, 2 veins with 3mm thickness. also with PY  vein and veinlets.","Mineralized, silicified cordierite-serpentine-chlorite metasomatite",,,,,,,,Cord-Serp-Chl Metasomatite,,,,,,,,,,,,,,,,,,,,,112,4890,0.19,,,,4.25,5,71,0.1,0.53,0.19,0.47,122,428,12.43,13.2,0.24,47,5.93,1046,1.73,0.16,0.005,9.8,3.83,0.05,32.2,0.5,0.17,0.52,0.29,253,0.3,64,16.2,19,9.6,3.1,0.06,,0.43,2,0.6,,0.16,6,35.5,1.3,3.04,,,,,,0.13,,,,,1,0.16
x,12,CRS01A,CRS01A-188.4,CRS01A-188.4,,,X,,x,,,,,"Intensely APHY altered MMS with A type veins on the 188.35m, 2 veins with 3mm thickness. also with PY  vein and veinlets.","Strongly brecciated, silicified, carbonate altered, mineralized chlorite-serpentine metasomatite",,,,,,,,Chl-Serp Metasomatite,,,,,,,,,,,,,,,,,,,,,81,6730,0.18,,,3,7.87,7,72,0.2,0.62,0.2,0.66,90.1,382,13.76,13.6,0.32,53,7.02,1316,1.39,0.13,0.005,8.6,5.7,0.06,23.9,0.7,0.15,0.73,0.19,236,0.9,78,17.7,21,11.4,2.2,0.07,,0.4,2,0.58,,0.16,5.6,33.6,1.1,2.22,,,,,,0.13,,,,,0.9,0.15
,13,OVD010,OVD010-97.7,OVD010-97.7,,,x,,,,,,,"Grey colored diorite enriched with pyrite. The diorite strongly altered by chlorite, carbonate and epidote alteration.","Strongly altered, gabbrodiorite porphyry (albite-chlorite-actinolite metasomatite after gabbrodiorite)","Relict, porphyry like, sub-ophitic","Ab+Carb Pseudo aft Pl-55-60%, Chlorite Pseudo - 35-40%",Ser-Carb-Chl-Leuc-Qtz,Py-Cpy,Strong metasomatized diorite? Or gabbrodiorite? This is small dyke through pre-cambrian sediment,,,Alb-Chl-Act Metasom after Gabbrodiorite,Gabbroic Rocks,,,,,,,,,,,,,,,,,,,,131,106,0.001,0.01,0.005,,8.82,6,42,0.5,0.08,6.63,0.07,42.2,441,9.08,19.7,0.12,136,5.59,1799,0.62,1.71,0.1026,2.8,0.83,0.16,480,2.4,0.73,,1.06,312,0.7,95,93.3,,2.1,3.2,0.08,1.1,0.05,,3.21,1,0.27,18.7,41.6,12.4,31.7,2.13,9.5,2.2,0.7,2.23,0.72,1.97,0.4,1.19,0.17,1.8,0.24
,14,OVD010,OVD010-226.3,OVD010-226.3,,,x,,,,,,,dark grey colored siltstone and sandstone interbedding,Serpentine-carbonate-actinolite-chlorite metasomatite (after gabbro or ultramafic pluton),"Granonematoblast, relict panidiomorphic","Qtz+Carb+Serp Pseudo-55-60%, Chlorite Pseudo-35-40%",Qtz-Carb-Serp-Chl,Tnt-Py,Strong metasomatized gabbro? This is small dyke through pre-cambrian sediment,,,Serp-Carb-Act-Chl Metasom after Gabbro,Gabbroic Rocks,,,,,,,,,,,,,,,,,,,,43,82.5,0.003,0.01,0.002,,9.5,7,271,0.9,0.04,1.81,0.09,24.1,91,6.41,19.8,1.21,75,1.94,1173,0.57,3.65,0.0461,5.2,1.12,0.38,304,0.8,0.58,0.12,0.37,162,0.3,91,80.9,,10.3,2.6,0.07,1,0.05,,2.53,,0.17,15,24.9,3,8.01,,,,,,0.47,,,,,1.8,0.25
,15,OVD010,OVD010-305.6,OVD010-305.6,,,X,,,,,,,"Carbonatic gabbro with dissiminated py, (may be gabbrodiorite?). Strong carbonate alteration",Fine to medium grained amphibole gabbrodiorite,"Sub-ophitic, prysmatic","Alt Pl-65-70%, Hb-25-30%",Ser-Pelite-Chl-Qtz-Carb,Tnt-Py-Cpy,"The rock's major mineral is Plagioclase (???), Hb filled interstitial space between Pl crystals.  ",,,Diorite?,Gabbroic Rocks,,,,,,,,,,,,,,,,,,,,238,47.3,0.004,0.01,0.003,3,8.57,6,287,0.6,0.04,5.28,0.06,33.7,311,5.43,15.4,0.38,80,5.23,966,0.34,2.16,0.0798,1.9,0.59,0.29,864,1.8,0.41,0.02,0.63,166,0.1,54,65.5,,6,2.1,0.05,0.5,,2,1.71,,0.16,14.5,24.7,11.7,28.1,,,,,,0.47,,,,,1.2,0.2
,16,OVD011,OVD011-101.5,OVD011-101.5,,,X,,,,,,,gabbro carbonatized,Altered qtz microdiorite,"Relict, poikiloophitic","Alt Pl-50-55%, Alt Hb-30-35%, Qtz-8-10%, Leuc-1-3%",Ser-Pelite-Soss-Act-Chl-Carb,Tnt-Py,Altered fg qtz-diorite,,,Qtz Micro-Diorite,,,,,,,,,,,,,,,,,,,,,462,65.4,0.001,0.01,0.001,,6.37,65,62,1.3,,7.72,0.11,54.4,1162,7.04,12.8,0.31,50,9.68,1357,0.82,0.72,0.1376,4.3,0.02,0.33,461,2,0.37,0.03,1.09,240,0.3,79,58.5,,3.4,2.1,0.03,0.6,0.07,,1.88,2,,11.7,29.5,13.9,34.7,3.32,15.7,4.1,1.23,4.7,0.47,4.97,0.97,2.97,0.44,1.1,0.16
,17,OVD011,OVD011-107.4,OVD011-107.4,,,x,,,,,,,Metasedimentary,"Mineralized, silicified, carbonate altered siltstone","Blastoaleuropelitic, microlepidoblast",Clayey micaseous agregate-75-80%,Qtz-Carb-Ser-Chl,Po-Cpy,Metasomatized siltstone,,,Siltstone,,,,,,,,,,,,,,,,,,,,,59,90.4,0.001,0.01,0.001,,9.66,5,89,0.8,,9.5,0.09,25.4,133,6.28,17.2,0.31,40,2.51,1833,1.13,2.67,0.1028,7.1,1.09,0.22,486,1.3,0.55,0.03,1.22,173,0.5,81,83.4,,5.2,3,0.05,0.8,0.11,,2.76,2,0.07,19.7,27.6,10.1,24,2.96,13.2,2.7,1.13,2.9,0.59,2.74,0.54,1.44,0.2,2.2,0.32
,18,OVD011,OVD011-109.1,OVD011-109.1,,,X,,,,,,,Spotted rock,"Weakly mineralized, chlorite-sericite phyllite after siltstone","Microlepidoblast, blastoaleurolitic, schistous, spotty","Sericite-40-45%, Chlorite-45-50%",Ser-Chl-Carb,Illm-Py-Cpy,Metasomatized siltstone,,,Chl-Ser Phyllite,,,,,,,,,,,,,,,,,,,,,64,90.4,0.001,0.01,0.001,,10.37,6,173,0.9,,8.98,0.06,24.7,159,6.94,19.2,0.8,65,2.38,2117,0.67,2.7,0.0636,2.4,0.41,0.2,774,1.4,0.58,0.07,1.57,186,0.4,90,82,,12.1,3.8,0.06,0.8,0.13,,2.92,2,0.09,18.5,30.3,9.3,19.1,1.19,5.8,1.5,0.57,1.77,0.56,2.05,0.4,1.17,0.17,2.2,0.34
,19,OVD011,OVD011-109.6,OVD011-109.6,,,X,,,,,,,Spotted rock,"Carbonate altered, fine grained, Ksp-qtz sandy meta-siltstone","Microlepidoblast, Schistous","Qtz-15-20%, Fsp-5-10%, clayey-sericite-chlorite agregate-70-75%",Qtz-Carb,Tnt-Py,Chl-Ser Phyllite,,,Ksp-Qtz Meta-Siltstone,,,,,,,,,,,,,,,,,,,,,51,94.1,0.001,0.01,0.001,,10.28,6,169,0.9,,5.34,0.1,26.3,95,6.26,18.7,1.05,64,1.91,1205,0.83,3.14,0.1093,9.3,1.54,0.16,653,1.4,0.55,0.11,1.16,185,0.4,89,67.4,,18.9,2.7,0.06,0.9,0.16,,2.28,1,0.07,20.6,27.8,9.7,23.4,2.86,12.5,2.8,0.94,2.72,0.67,2.64,0.48,1.3,0.2,2.3,0.33
,20,OVD011,OVD011-126.5,OVD011-126.5,,,X,,,,,,,Mineralized gabbro with pyrrhotite,"Weakly carbonate altered, minerlized sandy siltstone",Cryptolepidoblast,"Qtz-15-20%, Fsp-5%, clayey-sericite-chlorite agregate-75-80%",Qtz-Carb,Tnt-Py-Cpy,Chl-Ser Phyllite. Cut by qtz-carb very fine veins which has Py-Cpy,,,Sandy Siltstone,,,,,,,,,,,,,,,,,,,,,910,858,0.01,0.01,0.014,,6.54,13,107,0.9,0.04,7.06,0.17,71,857,7.2,13.3,0.38,37,8.48,1281,0.72,1.05,0.1076,4.5,0.6,7.14,464,1.7,0.48,0.04,0.85,191,0.2,74,72.9,,6,3.2,0.05,0.8,0.12,,2.4,2,0.07,13.5,26.5,12.5,32.2,3.32,16.1,4,1.11,4.6,0.52,4.76,0.95,2.58,0.38,1.4,0.21
,21,OVD011,OVD011-132.8,OVD011-132.8,,,X,,,,,,,Gabbro,"Mineralized, altered, fine grained melanocratic Ol-Amph gabbro","Poikiloophitic, ophitic","Hb-30-35%, Serp+Talc Pseudo aft Ol and Px-35-40%, Pl-15-20%, Bt-5%",Serp-Soss-Talc-Act-Carb,Chromite-Mag-Po-Cpy,,,,Ol-Hb Gabbro,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,553,228,0.001,0.01,0.004,,7.58,5,254,0.8,,4.74,0.11,65.9,504,6.85,14.9,0.52,48,8.24,1318,0.54,1.45,0.1151,3.6,0.27,0.27,559,2,0.48,0.06,0.78,159,0.3,82,98.1,,8.5,4.7,0.06,0.9,0.08,2,2.52,1,0.28,18.9,25.7,15.9,39.6,2.88,13.1,3.7,1.09,3.42,0.62,4.09,0.88,2.59,0.4,2,0.29
,22,OVD011,OVD011-189.2,OVD011-189.2,,,X,,,,,,,Unmineralized gabbro,"Strongly altered, fine to medium grained, Amph-Peridotite",Panidiomorphic,"Hb-35-40%, Serp+Talc Pseudo aft Ol and Opx-30-35%, Alt Px-20-25%",Amph-Serp-Talc-Act-Carb,Chromite-Mag-Py,"Primary peridotite's Px and Ol affected by amphibolitization, which is why the amphibole became dominant in the rock. ",,,Ol-Hb Peridotite,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,506,105,0.001,0.01,0.005,,6.29,3,12,1.2,,6.19,0.07,62.4,910,7.12,12.1,0.12,53,10.17,1300,0.48,0.28,0.1105,3.6,0.19,,248,2.2,0.34,,1.03,189,0.4,65,64,,0.7,2.2,0.04,0.6,,,1.81,,0.12,11.5,31.3,13.4,34.3,,,,,,0.47,,,,,1,0.16
,23,OVD014,OVD014-35.9-36.1,OVD014-35.9-36.1,,,X,,,,,,,Spotted rock,Garnet-carbonate metasomatite (Skarn),"Porphyroblast, granoblast","Carbonate-50-55%, Garnet-30-35%, Qtz-10-15%",,,Skarnization,,,Skarn,,,,,,,,,,,,,,,,,,,,,14,38.2,0.002,0.01,0.002,,8.44,3,140,0.8,0.06,1.28,0.09,17,22,6.02,23.8,0.8,78,1.92,1192,0.45,2.59,0.071,6.3,0.13,,461,1.1,0.5,0.08,0.83,118,0.3,103,72.9,,14.3,2.4,0.08,1.1,,,2.4,,0.17,25.3,31.2,8.7,23.2,,,,,,0.8,,,,,2.9,0.41
,24,OVD014,OVD014-88.3,OVD014-88.3,,,x,,,,,,,Dolerite,Strong metasomatized diorite porphyry,"Porphyritic, microhypidiomorphic","Pl-70-75%, Alt Mafic minerals-20-25%, Bt-3-5%, Qtz-1-3%",Ser-Pelite-Chl-Musc-Carb,Chromite-Po-Cpy,,,,Diorite?,,,,,,,,,,,,,,,,,,,,,42,76.5,0.001,0.01,0.002,,10.35,4,171,0.6,,4.86,0.1,26.3,84,7.12,19.6,0.64,48,2.11,1075,0.47,3.95,0.0962,5.3,0.67,0.06,543,1.3,0.5,0.06,0.59,171,0.3,90,43.8,,9.2,2.1,0.07,0.8,0.06,,1.64,,0.18,16.2,28.8,7.3,17.4,,,,,,0.53,,,,,1.6,0.27
,25,OVD014,OVD014-89.8 (A),OVD014-89.8 (A),,,X,,,,,,,Gabbro carbonatized. Unmineralized,"Altered, fine to medium grained, Pyroxene-Amphibole Gabbro","Ophitic, sub-ophitic","Alt Pl-40-45%, Hb-35-40%, Alt Cpx-10-15%, Serp Pseu aft Ol-5-10%",Serp-Epi-Chl-Ser-Pelite,Mag-Titanite-Py-Cpy,"Zonal Pl are altered by ser+epi at the center. Sometimes small Pl crystals are included in Hb creating poikilitic texture. Hb also
includes Cpx relict. Serpentine+chlorite pseudomorphs could be after Olivine. ",,,Px-Amph Gabbro,Gabbroic Rocks,,,,,,,,,,,,,,,,,,,,83,118,0.013,0.01,0.001,,8.89,4,135,0.7,,9.29,0.13,25.9,138,6.33,16.5,0.34,24,2.92,1538,0.62,3.34,0.1009,6.2,0.55,0.11,646,1.7,0.58,0.02,0.78,153,0.2,74,110,,4.8,4.3,0.07,1.1,0.05,,3.17,,0.31,24,24.3,13.1,29.6,,,,,,0.71,,,,,2.5,0.4
,26,OVD014,OVD014-89.8 (B),OVD014-89.8 (B),,,X,,,,,,,Gabbro not carbonatized or weakly carbonatized. ,"Carbonate altered, albite altered, epidote-pyroxene-garnet-carbonate Skarn",,"Ga-25-30%, Cpx-15-20%, Carb-15-20%, Epi-5-10%, Pl-10-15%",,Carb+Ab,Skarnization,,,Ep-Cpx-Ga-Carb Skarn,,,,,,,,,,,,,,,,,,,,,83,118,0.013,0.01,0.001,,8.89,4,135,0.7,,9.29,0.13,25.9,138,6.33,16.5,0.34,24,2.92,1538,0.62,3.34,0.1009,6.2,0.55,0.11,646,1.7,0.58,0.02,0.78,153,0.2,74,110,,4.8,4.3,0.07,1.1,0.05,,3.17,,0.31,24,24.3,13.1,29.6,,,,,,0.71,,,,,2.5,0.4
,27,OVD014,OVD014-95.8-95.9,OVD014-95.8-95.9,,,X,,,,,,,"Weakly mineralized gabbro, with PYH, CPY can be seen rarely, mineralization is sparsely. ","Mineralized, altered, fine to medium grained, inequigranular, Px-Amph melanocratic Gabbro","Hypidiomorph, sub-ophitic, ophitic","Alt Pl-25-30%, Hb-35-40%, Alt Cpx-5-10%, Serp Pseu aft Ol-15-20%",Serp-Talc-Epi-Chl-Ser-Carb-Qtz,Mag-Py-Po-Cpy,,,,Px-Amph Gabbro,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,650,369,0.007,0.01,0.004,,7.31,1,161,0.6,,5.39,0.15,68.7,549,7.55,11.9,0.4,33,9.3,1217,0.57,1.63,0.082,3,0.48,0.1,426,1,0.52,0.04,0.33,133,,72,103,,4.7,3.5,0.05,0.8,0.06,,2.44,,0.2,16.2,21.8,9.4,22.1,,,,,,0.48,,,,,1.5,0.23
,28,OVD014,OVD014-102.3,OVD014-102.3,,,X,,,,,,,"Mineralized, altered gabbro","Mineralized, strong metasomatized, fine to edium grained Peridotite","Relict, panidiomorph, granolepidoblast","Talc+Chl+Serp Pseu-55-60%, Alt Hb-20-25%, Alt Px-5-10%",Carb+Qtz,Chromite-Mag-Py-Pn-Po-Cpy,,,,Peridotite,Ultramafic (Harzburgite/Dunite),,,,,,,,,,,,,,,,,,,,6370,6590,0.025,0.08,0.086,3,4.67,32,9,0.3,0.61,6.71,1.41,307,486,14.09,9.6,0.01,39,6.96,1041,1.53,0.02,0.0457,15,5,0.15,182,0.8,0.25,0.07,0.27,97,0.2,122,35.2,10,0.9,1.9,0.16,1.5,1.05,,0.81,2,0.14,8.9,10.8,6.2,16,4.13,18.2,4.1,1.28,4.62,0.32,3.49,0.77,1.85,0.3,0.7,0.1
,29,OVD014,OVD014-109.6,OVD014-109.6,,,x,,,,,,,Dolerite,"Weakly mineralized, carbonate-actinolite-chlorite metasomatite after gabbrodiorite","Micronematoblast, relict, hypidiomorphic","Act-30-35%, Chl-45-50%, Carb-10-15%, Qtz-1-3%, Ilm-1-2%",Act-Chl-Qtz-Carb-Leucogsen,Chromite-Ilm-Py,Metasomatite. Under the strong metasomatic alteration the rock completely altered. Protolith is assumed to be Gabbrodiorite or Diorite,,,Carb-Act-Chl Metasom after Gabbrodiorite,,,,,,,,,,,,,,,,,,,,,412,126,0.001,0.01,0.008,,6.53,,110,1.2,0.07,5.81,0.08,52.8,981,7.37,12.8,0.49,49,9.57,1405,0.82,0.79,0.124,3.9,0.61,0.22,240,2.8,0.43,0.05,1.15,232,0.2,66,81.4,,5.5,2.6,0.05,0.7,,,2.33,2,0.17,14.4,29.4,17.5,39.5,3.46,15.2,3.6,1.13,3.76,0.56,3.17,0.64,1.74,0.25,1.3,0.2
,30,OVD015,OVD015-94.82,OVD015-94.82,,,X,,,,,,,Spotted rock,Chlorite-sericite phyllite (micro-schist),"Microlepidoblast, Schistous","Ser-60-65%, Chl-35-40%, Titanite-1-3%",Ser-Chl-Tnt,Tnt-Cpy,,,,Chl-Ser Phyllite,Gabbroic Rocks,,,,,,,,,,,,,,,,,,,,88,103,0.001,0.01,0.001,,8.33,6,225,1,0.06,0.97,0.04,30.1,172,8.34,20.9,1.23,89,2.98,1224,0.43,1.73,0.1835,10.5,0.54,0.19,416,1.6,0.54,0.12,1.01,188,0.4,109,83.6,,15.1,4.7,0.08,1.1,,1,2.96,,0.31,17.3,30.5,8.2,22.2,,,,,,0.71,,,,,2.1,0.33
,31,OVD015,OVD015-102.4,OVD015-102.4,,,X,,,,,,,Unmineralized gabbro. Carbonate altered.,Fine grained amph-gabbrodiorite,"Poikilophitic, sub-ophitic, massive","Alt Pl-55+60%, Hb-25-30%, Qtz-1-3%",Ser-Pelite-Chl-Carb,Chromite-Tnt-Py-Cpy,"The rock is carbonate altered, creating 0.1-1mm wide carbonate lenses and veins. Those carbonate lenses and veins contain ore minerals. 
Plus ore minerals usually assocated with chlorite, carbonates. ",,,Amph-Gabbrodiorite,,,,,,,,,,,,,,,,,,,,,91,60.1,0.001,0.01,0.001,,6.6,14,154,0.7,,5.14,0.05,37.7,322,6.4,15.6,0.58,77,3.87,949,3.4,1.98,0.1305,2.4,0.21,0.32,548,1.8,0.59,0.06,0.58,188,,72,64.3,,12.2,3.8,0.06,0.7,,1,2.33,2,0.25,17,29.1,15.1,35,3.41,14.4,3.6,1.07,3.77,0.62,3.21,0.74,1.78,0.29,1.6,0.25
,32,OVD015,OVD015-105.1-105.2,OVD015-105.1-105.2,,,X,,,,,,,Fresh gabbro. With traces of PYH and CPY,Fine grained Bt-Qtz Diorite (micro-diorite),"Hypidiomorphic, sub-ophitic, massive","Alt Pl-55-60%, Bt-20-25%, Qtz-1-3%",Ser-Pelite-Chl-Carb-Hydrogoeth,Tnt-Py,This rock is dyke that cut the gabbrodiorite,,,Bt-Qtz Micro-Diorite,,,,,,,,,,,,,,,,,,,,,141,40.8,0.001,0.01,0.001,,6.31,2,164,0.6,,5.78,0.06,46.3,407,6.42,16.3,0.49,37,5.63,1141,0.42,2.05,0.1339,2.3,0.15,0.15,623,1.8,0.63,0.05,0.57,186,,74,72.1,,9.5,4.4,0.06,0.8,,,2.74,2,0.27,20.2,30.5,15,34.7,1.28,5.6,1.5,0.64,1.96,0.64,1.94,0.46,1.18,0.19,2,0.29
,33,OVD015,OVD015-116.1,OVD015-116.1,,,X,,,,,,,Weak mineralized and carbonatized gabbro,Strong carbonate altered Gabbrodiorite porphyry,"Porphyry like, poikiloophitic, massive","Alt Pl-55-60%, Carb+serp+chl Pseud aft 
Ol-Hb-30-35%, Bt-5-10%, Qtz-1-3%",(Chl-Serp-Carb)-Qtz-Leuc-Ruth,Ilm-Chromite-Py-Po-Cpy,"Ore minerals mainly associated with carbonatization, carbonate chloritization and carbonate veinlets. ",,,Gabbrodiorite Porphyry,,,,,,,,,,,,,,,,,,,,,265,205,0.002,0.01,0.002,,5.44,12,184,0.6,,5.38,0.09,47.5,450,6.69,15.2,0.48,48,5.54,1069,0.18,1.76,0.099,2.3,0.21,0.28,526,1.5,0.39,0.04,0.54,145,,74,68.1,,8,2.2,0.05,0.6,,,1.78,2,0.18,13.2,22.1,13.1,30.6,6.05,26.1,6.7,2,7.18,0.46,5.62,1.14,3.06,0.43,1.3,0.18
,34,OVD015,OVD015-140.6,OVD015-140.6,,,X,,,,,,,Mineralized gabbro,"Weakly mineralized, altered, melanocratic Gabbro porphyry (Porphyry like, weakly mineralized, altered melanocratic gabbro","Nevadite-porphyritic, poikiloophitic, ","Alt Pl-25-30%, Hb-30-35%, 
Talc+Serp Pseudo aft Ol and Px-30-35%, Bt-5%, Qtz-1-3%",Serp-Soss-Talc-Act-Carb-Qtz,Ilm-Chromite-Mag-Po-Cpy,,,,Olivine Gabbro,Ultramafic (Harzburgite/Dunite),,,,,,,,,,,,,,,,,,,,805,525,0.008,0.01,0.004,,4.48,2,123,0.5,0.1,3.41,0.12,80,864,8.54,11.6,0.22,40,11.72,1183,0.33,1.35,0.0805,4.2,0.44,0.06,403,1.1,0.48,,0.39,130,,82,90.1,,2.4,1.8,0.05,0.8,0.07,,2.11,2,0.08,16.9,18.4,10.5,25.4,2.73,12,2.8,0.89,3.15,0.54,2.77,0.55,1.51,0.2,1.7,0.26
,35,OVD015,OVD015-158.7,OVD015-158.7,,,X,,,,,,,Mineralized gabbro,"Weakly mineralized, altered, fine to medium grained, melanocratic Gabbro (Amph-Peridotite)","Poikilophitic, ophitic, relict panidiomorphic","Hb-35-40%, Serp+Talc Pseudo aft Ol-40-45%, Pl-10%, Bt-3-5%",Serp-Soss-Talc-Chl-Act-Carb (few),Chromite-ilm-Mag-Py-Po-Cpy,"Hb rarely, weakly altered by Act and Bt. Those altered part includes smaller Pl crystals creating poiklitic texture and this altered Hb also replaced 
talc-serpentine pseudomorph after Olivine's crystal by outer rim. That talc-serpentine pseudomorph, sometimes, is formed by pyroxene. ",,,Amph-Peridotite,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,615,146,0.002,0.01,0.002,,5.45,3,191,0.6,,3.67,0.08,82.9,697,8.41,11.7,0.52,44,12.78,1373,0.44,1.24,0.097,2,0.16,0.07,549,1.2,0.44,0.12,0.37,126,,88,72.5,,10.2,2.9,0.04,0.7,,2,1.97,2,0.16,18.2,19.5,10.3,26.3,2.82,12.3,2.8,0.89,3.2,0.48,2.93,0.52,1.55,0.21,1.5,0.23
,36,OVD015,OVD015-165.5,OVD015-165.5,,,X,,,,,,,Mineralized gabbro,"Weakly mineralized, altered, fine to medium grained Amph-Peridotite","Poikilitic, relict panidiomorphic","Talc+Serp Pseudo aft Ol and Px-40-45%, Hb-35-40%, Ol-8-10%, Pl-8-10%,
Bt-5-8%",Serp-Soss-Talc-Chl-Act,Chromite-illm-Mag-Py-Po-Cpy,Same as OVD015-158.7,,,Amph-Peridotite,Ultramafic (Harzburgite/Dunite),,,,,,,,,,,,,,,,,,,,745,313,0.005,0.01,0.003,,4.84,6,173,0.4,,3.31,0.1,85.4,594,8.55,10,0.63,49,13.75,1386,0.15,0.89,0.0875,1,0.19,0.14,394,1,0.38,0.12,0.37,113,,86,66.3,,11.9,2.4,0.04,0.6,0.06,3,1.65,1,0.13,14.2,17.3,8.7,22.1,4.12,18.1,4.4,1.27,4.02,0.39,4.34,0.98,2.37,0.38,1.3,0.19
,40,OVD015,OVD015-175.4,OVD015-175.4,,,X,,,,,,,Mineralized gabbro,"Weakly mineralized, altered, fine to medium grained Px-Amph Gabbrodiorite","Hypidiormorphic, sub-ophitic","Alt Pl-60-65%, Hb-15-20%, Cpx-15-20%, Alt Bt-5%, ",Serp-Pelite-Act-Chl-Epi-Carb,illm-Py-Po-Cpy,,,,Px-Amph Gabbrodiorite,Mafic (Pyroxenite),,,,,,,,,,,,,,,,,,,,420,401,0.002,0.01,0.004,,6.49,5,259,0.6,0.08,7.5,0.25,57.2,690,6.49,14.4,0.65,18,6.37,1148,0.31,2.48,0.0934,6.8,0.6,0.1,509,0.9,0.57,0.03,0.35,155,0.2,62,91.9,,7,3.5,0.1,1.5,0.09,,2.61,2,0.23,22.3,37,9,22.7,4.19,18.3,4.2,1.41,4.42,0.58,3.64,0.69,2.1,0.29,1.7,0.26
