Arrived chips,#,Drillhole,Sample interval,Sample Number ,Petrographer,Year,Sample type,Sample type,Sample type,Sample type,Sample type,Sample type,Sample type,Field Lithology description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,,,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,PbO %,CuO %,V2O5 %,ZnO %,Total %,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
Arrived chips,#,Drillhole,Sample interval,Sample Number ,Petrographer,Year,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,EDS,EPMA,Field Lithology description,Micro - description,Texture,Rock forming minerals,Alteration,Ore minerals and paragenesis,Brief petrographic description,,,Microscope - Rock name,Sc vs Al plot,,,,,,,,,,,,,,,,,,,,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
,2,OVD-004,91m,40605,Mireslab,2023,x,,,,,,,oxidazed gabbro,Amphibole-orthoperoxene micro-gabbro,"hollocrystalline, ophitic","Pl, Amph, ",,,,,,Amph-Opx Gabbro,Gabbroic Rocks,,,,,,,,,,,,,,,,,,,,40.7,25.4,0.01,0.01,0.001,0.43,8.85,,572,1.4,,4.67,0.09,22.7,64,6.05,20.1,1.19,26,2.45,986,0.54,3.13,0.2711,7.8,0.26,0.08,1220,5.1,0.84,0.06,1.4,175,0.3,95,166,,13.1,8.5,0.06,1.2,,,5.39,,0.48,25.5,16.4,45.1,103,,,,,,0.97,,,,,2.1,0.32
,3,OVD-004,28m,40574,Mireslab,2023,x,,,,,eds,,spotted???,Oxidized Amphibole gabbro,"Hollocrystalline, Ophitic","Pl, Amph","Ser, Chl","Hem, Geothite, ",,,,Amph Gabbro,Mafic (Pyroxenite),10.62,0.04,5.54,0.07,14.27,0.21,8.71,0.13,1.74,0.21,2.52,47.86,,0.86,,0.17,0.03,,93.84000000000002,1607,1704,0.048,0.03,0.041,1.19,6.65,,132,,0.5,4.04,1.1,107,485,10.69,12,0.3,25,6.1,935,,,0.08,14,1.23,0.2,411,0.9,0.5,,0.46,124,,77,91.3,,1.9,4,,,0.9,0.9,2,2,,15.7,22,9.2,21.7,2.8,12.9,3.2,1.06,3.42,0.51,3.1,0.61,1.59,0.24,1.6,0.22
,4,OVD-005,53m,40635,Mireslab,2023,x,,,,,,,spotted,Amphibole micro-gabbro,"Hollocrystalline, Ophitic","Pl, Amph","ser, carb",,,,,Amph Gabbro,Ultramafic (Harzburgite/Dunite),6.73,0.14,3.63,0.15,16.32,0.36,23.59,0.2,0.72,0.11,4.23,39.35,,0.53,,0.16,,,96.75,2468,2682,0.028,0.02,0.027,1.96,3.69,,115,,0.8,2.74,0.5,173,961,10.83,8,0.78,24,13.82,1259,2,,0.05,234,2.55,0.2,271,0.7,0.3,,0.2,65,,97,51.1,,5.3,2,,1,0.57,1.1,1,1,,9.2,13,4.6,16.1,2.15,9.9,2.1,0.69,2.65,0.35,2.06,0.41,1.17,0.14,1.1,0.18
,5,OVD-005,71m,40645,Mireslab,2023,x,,,,,eds,,gabbro,Amphibole gabbro,"Hollocrystalline, Ophitic","Pl, Amph","ser, calc, chl","Po,Py,Cpy, Pn",,,,Amph Gabbro,Mafic (Pyroxenite),9,0.06,4.96,0.13,12.66,0.49,19.19,0.19,0.88,0.2,1.8,42.36,,0.73,,0.05,,,93.43,1330,2302,0.009,0.01,0.016,0.55,5.25,9,139,,0.3,3.97,,118,933,9.8,11,0.49,43,12,1352,17,,0.07,25,0.9,1.1,381,0.7,0.45,,0.24,98,1,201,79,,8.2,3,,,0.18,2,2,1,,12.4,16,5.7,19.5,2.7,12.1,3,0.92,3.41,0.47,2.91,0.62,1.58,0.22,1.5,0.22
,7,OVD-005,40.5m,40628,Mireslab,2023,x,,,,,,,gabbro,Amphibole gabbro,"Hollocrystalline, ophitic","Pl, Amph","Ser, calc","Cpy, Py, Ni-Pyrite, Pn, Ag-Te mineral, Ni-bearing anglesite?",,,,Amph Gabbro,Ultramafic (Harzburgite/Dunite),5.94,0.07,3.03,0.17,16.41,0.32,24.62,0.19,0.59,0.18,4.33,38.32,,0.46,,0.09,0.01,,95.19,3195,2952,0.024,0.02,0.029,1.98,3.56,,172,,0.8,2.42,0.7,195,1372,12.34,8,0.84,15,14.98,1378,,,0.06,22,2.55,,234,0.5,0.32,,0.12,79,,103,38,,5.2,2,,,0.51,1.1,1,1,,7.8,13,4.1,15.2,2.06,9.4,2.1,0.71,2.05,0.33,1.97,0.4,1.2,0.14,1,0.15
,43,OVD-005,13.4m,41027,Khanlab,2023,x,,,,,,,Gabbro,Fine and medium grained olivine-hornblende- pyroxene peridotite ,"Panidiomorphic, poikiloophitic","Hb-35-40%, Px-35-40%, Alt Ol-5-10%, Bt-5-7%",Serp-Talc-Iddingsite-Act-Chl-Carb-Geothite-Hydrogoethite,illm-Chromite-Mag,weathered and oxidized rock,,,Ol-Hb-Px Peridotite,Ultramafic (Harzburgite/Dunite),6.72,0.04,8.97,0.14,10.88,0.23,18.19,0.17,0.71,0.13,0.04,37.27,,0.51,,0.04,,,84.55000000000003,809,506,0.008,0.01,0.005,0.26,3.96,,165,,,7.19,,88.5,967,7.27,8,0.94,30,11.06,1154,,,0.05,7,0.01,,305,0.7,0.3,,0.73,81,,77,37.3,,4.7,2,,,0.07,1.5,1,1,,8.9,14,5.7,18.8,2.57,11.2,2.5,0.79,2.53,0.39,2.06,0.48,1.32,0.17,1.2,0.16
,6,OVD-007,98.2,40715,Mireslab,2023,x,,,,,,,gabbro,Shale (weak schistosity),"Pelitic, schistous",,,Py,,,,Schistous shale,,,,,,,,,,,,,,,,,,,,,37.1,79.6,0.002,0.01,0.001,,8.25,6,85,0.7,,5.78,0.07,21.2,49,6.48,17.7,0.48,80,2.37,2335,0.62,3,0.0984,4.3,0.32,0.14,386,1,0.64,0.05,0.7,192,0.4,95,91.3,,8.6,2.3,0.07,0.9,,,3.04,,0.44,28.5,22.3,9.6,23.7,,,,,,0.8,,,,,2.9,0.44
,27,OVD-007,50m,41011,Khanlab,2023,x,,,,,,,Gabbro,"Mineralized, fine- medium grained hornblende pyroxene melanocratic gabbro (Peridotite?) ","Panidiomorphic, poikiloophitic, poikilitic","Alt Opx+Cpx-55-60%, Hb-15-20%, Alt Pl<10%, Alt Ol-5-10%, Bt-3-5%",Serp-Talc-Act-Chl-Ser-Carb,Mag-illm-Chromite-Pn-Po-Cpy,Opx and Ol are altered to serpentine and talc by the rim. Hb strongly replaced by actinolite and sometimes includes Cpx relic aggregates.,,,Hb-Px Gabbro or Peridotite,Ultramafic (Harzburgite/Dunite),5.83,,3.65,0.17,15.27,0.39,22.76,0.22,0.49,0.13,2.98,39.95,,0.5,,0.06,,,92.9,2108,1739,0.021,0.02,0.021,1.35,3.74,,112,,0.5,2.76,0.5,157,1298,11.83,10,0.9,18,14.95,1383,,,0.05,13,1.52,0.3,288,0.5,0.31,,0.42,89,,109,39.6,,7.4,2,,,0.32,1,1,3,,10.6,11,6.4,15.5,2.12,8.8,2,0.61,2.15,0.33,1.97,0.36,1,0.13,1,0.16
,41,OVD-007,58.2m,41025,Khanlab,2023,x,,,,,,,Gabbro,Altered melanocratic microgabbro ,"Panidiomorphic, poikiloophitic","Cpx-40-45%, Alt Pl-40-45%, Hb-10-15%",Soss-Act-Chl-Epi-Ser,Mag-illm-Py-Po-Cpy,,,,Gabbro,Mafic (Pyroxenite),8.8,0.06,5.28,0.11,11.81,0.33,18.15,0.2,1.2,0.15,1.57,44.24,,0.54,,0.09,0.02,,93.09000000000002,953,381,0.007,0.01,0.012,1.18,5.2,,109,,,3.25,,109,1150,8.98,14,0.76,33,12.46,1292,,,0.08,42,0.83,0.3,314,0.7,0.45,,0.4,114,,94,75.2,,9.4,3,0.2,,0.15,2.4,2,3,,14.5,16,8.7,21.4,2.94,12.2,2.9,0.94,3.19,0.52,2.9,0.57,1.5,0.22,1.5,0.21
,42,OVD-007,87.8m,41026,Khanlab,2023,x,,,,,,,Gabbro,Altered gabbro porphyry ,"Porphyritic, sub-ophitic, poikiloophitic","Alt Pl-55-60%, Hb-35-40%, Bt-5-8%, Cpx-few, Qtz-1-3%",Talc-Act-Chl-Mus-Pelite-Serc-Carb,illm-Mag-Py-Cpy,Pl composition is intermediate to mafic calcic-plagioclase. ,,,Porphyritic Gabbro,Gabbroic Rocks,16.8,0.06,4.5,0.04,10.22,1.12,7.06,0.16,2.32,0.3,1.43,50.09,,1,,0.05,0.02,,96.16999999999999,620,597,0.013,0.01,0.01,0.33,9,9,222,,0.1,3.15,0.3,57.2,301,7.6,17,0.66,44,4.33,1186,,,0.13,16,0.73,0.2,553,1.7,0.66,,0.88,144,,95,136,,16.6,4,,1,0.16,1,3,2,,30.1,22,12.9,34.7,4.97,22,5.4,1.58,5.53,1.01,5.64,1.46,3.35,0.51,2.8,0.43
