#,Hole ID,From,To,Sample Number,,Lithology,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Report,New Lithology by Petrographic,,,,HOLE_ID,SAMPLE_ID,Petrographic Sample # ,Petrographer,from,to,depth,Lithology,SAMPLE_ID,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
#,Hole ID,From,To,Sample Number,Sample Number ,Lithology,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,,New Lithology by Petrographic,sugar бэлтгэл,sugar өнгөлгөө,,HOLE_ID,SAMPLE_ID,Petrographic Sample # ,Petrographer,from,to,depth,Lithology,SAMPLE_ID,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
11,OVD024,107.8,107.9,OVD024-107.8,47140,Gabbro Mineralized,x,,,,,x,,,,0,OVD024,46098,47140,Altantsetseg,106,108,2,Gabbro Mineralized,46098,0.03,0.03,0.04,1.9,4.51,<5,80,0.5,<2,2.76,1.4,161,797,2960,0.296,2600,0.26,0.07,17,2,<5,14,242,<20,0.4,<10,<10,100,<10,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,OVD024,148.3,148.4,OVD024-148.3,47141,Gabbro Mineralized,x,,,,,x,,,,0,OVD024,46121,47141,Altantsetseg,148,150,2,Gabbro Mineralized,46121,0.05,0.03,0.05,1.1,6.58,25,190,0.6,<2,4.57,0.9,108,548,1960,0.196,1805,0.1805,0.09,8,1.42,<5,20,613,<20,0.47,<10,<10,131,<10,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,OVD024,160.5,160.6,OVD024-160.5,47142,Breccia ,,,,,,x,,,,0,OVD024,46128,47142,Altantsetseg,159.15,160.75,1.6,Breccia ,46128,<0.01,<0.01,<0.01,<0.5,6.21,<5,100,0.7,<2,9.16,0.5,34,276,82,0.0082,127,0.0127,0.056,5,0.55,<5,25,366,<20,0.38,<10,<10,150,<10,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,OVD025,32.6,32.7,OVD025-32.6,47143,Sandstone,Sandstone,Sandstone,Sandstone,,Sandstone,Sandstone,Sandstone,ok,,0,OVD025,46141,47143,Altantsetseg,32,33.65,1.65,Sandstone,46141,*,*,*,<0.5,8.11,8,210,0.8,<2,3.28,0.5,40,307,91,0.0091,107,0.0107,0.095,5,0.13,<5,34,489,<20,0.56,<10,<10,234,<10,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,OVD025,37.7,37.8,OVD025-37.7,47144,Gabbro Mineralized,x,,,,,x,Gabbro,ok,ok,0,OVD025,46145,47144,Altantsetseg,37,39,2,Gabbro Mineralized,46145,<0.01,<0.01,0.01,<0.5,6.23,<5,210,0.7,<2,4.38,<0.5,75,517,251,0.0251,662,0.0662,0.115,6,0.28,<5,19,486,<20,0.64,<10,<10,140,<10,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,OVD025,43.2,43.3,OVD025-43.2,47145,Dolerite,Dolerite,Dolerite,Dolerite,,Dolerite,Dolerite,Gabbrodiorite,ok,ok,0,OVD025,46148,47145,Altantsetseg,42.3,44.6,2.3,Dolerite,46148,*,*,*,<0.5,6.08,<5,220,0.6,<2,6.53,0.8,59,411,683,0.0683,568,0.0568,0.083,6,1.24,<5,26,474,<20,0.5,<10,<10,184,<10,70,,,,,,,,,,,,,,,,,,,,,,,,,,12.02,0.02,8.91,0.09,12.28,0.92,10.1,0.17,2.19,0.18,2.99,41.04,0.05,0.85,,,,,,
17,OVD025,45.3,45.4,OVD025-45.3,47146,Gabbro Mineralized S,x,,,,,x,,,,0,OVD025,46149,47146,Altantsetseg,44.6,46.6,2,Gabbro Mineralized S,46149,0.24,0.2,0.29,7,2.3,<5,40,<0.5,<2,1.2,3.2,698,664,10000,1.86,>10000,1.68,0.032,51,>10.0,<5,7,77,<20,0.17,<10,<10,63,<10,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,OVD025,46.9,47,OVD025-46.9,47147,Gabbro Mineralized,x,,,,,x,Gabbro,ok,,0,OVD025,46150,47147,Altantsetseg,46.6,48.2,1.6,Gabbro Mineralized,46150,0.25,0.15,0.2,5.9,4.27,5,60,<0.5,<2,2.15,2.8,356,459,10000,1.135,8810,0.881,0.07,39,9.18,<5,15,165,<20,0.29,<10,<10,94,<10,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,OVD025,53.15,53.25,OVD025-53.15,47148,Dolerite,x,,,,,x,Peridodite,ok,ok,0,OVD025,46157,47148,Altantsetseg,48,54,6,Dolerite,46157,*,*,*,3.5,6.13,<5,210,0.5,<2,4.16,1.8,166,514,5610,0.561,2970,0.297,0.09,34,3.55,<5,23,321,<20,0.44,<10,<10,149,<10,90,,,,,,,,,,,,,,,,,,,,,,,,,,11.72,0.02,5.6,0.11,17.45,0.99,11.85,0.18,1.37,0.2,7.69,39.31,0.04,0.72,,,,,,
20,OVD025,55.4,55.5,OVD025-55.4,47149,Dolerite,x,,,,,x,Gabbro,ok,,0,OVD025,46158,47149,Altantsetseg,54,56,2,Dolerite,46158,*,*,*,0.9,6.34,<5,230,0.6,<2,7.31,0.8,133,362,2080,0.208,1335,0.1335,0.114,9,2.26,<5,24,422,<20,0.47,<10,<10,161,<10,80,,,,,,,,,,,,,,,,,,,,,,,,,,12.26,0.02,9.98,0.08,12.81,0.85,10.05,0.19,1.83,0.27,4.87,40.38,0.04,0.79,,,,,,
21,OVD025,57.4,57.5,OVD025-57.4,47150,Dolerite,x,,,,,x,Gabbro?,ok,ok,0,OVD025,46159,47150,Altantsetseg,56,58.25,2.25,Dolerite,46159,*,*,*,<0.5,7.74,<5,230,0.7,<2,4.23,0.7,53,318,629,0.0629,169,0.0169,0.094,9,0.49,<5,33,443,<20,0.5,<10,<10,243,<10,90,,,,,,,,,,,,,,,,,,,,,,,,,,14.86,0.02,5.56,0.07,10.44,0.61,7.16,0.2,4.13,0.2,0.97,48.51,0.04,0.81,,,,,,
22,OVD025,58.55,58.65,OVD025-58.55,47151,Sandstone,,x,,,,x,,,,0,OVD025,46160,47151,Altantsetseg,58.25,58.85,0.6,Sandstone,46160,*,*,*,<0.5,8.23,7,320,0.8,<2,2.34,<0.5,40,248,107,0.0107,126,0.0126,0.088,6,0.3,<5,30,345,<20,0.5,<10,<10,205,<10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,OVD025,61.4,61.5,OVD025-61.4,47152,Tuff sandstone ,Tuff sandstone ,Tuff sandstone ,Tuff sandstone ,,Tuff sandstone ,Tuff sandstone ,Tuff sandstone ,ok,ok,0,OVD025,46161,47152,Altantsetseg,58.85,60.85,2,Tuff sandstone ,46161,*,*,*,<0.5,8.4,6,300,0.7,<2,2.94,<0.5,37,230,115,0.0115,119,0.0119,0.095,7,0.27,<5,30,260,<20,0.51,<10,<10,207,<10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,OVD022,8.7,8.9,OVD022-8.7,47154,Breccia,x,,,,,x,,,,0,OVD022,43852,47154,Altantsetseg,7.8,9,1.2,Breccia,43852,<0.01,0.01,0.01,<0.5,5.02,8,180,0.5,<2,8.28,<0.5,61,576,363,0.0363,421,0.0421,0.047,7,<0.01,<5,41,283,<20,0.36,<10,10,187,<10,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,OVD022,36.9,37,OVD022-36.9,47155,Gabbro mineralized,x,,,,,x,Peridodite,,,0,OVD022,43868,47155,Altantsetseg,37,39,2,Gabbro mineralized,43868,0.03,0.03,0.03,1.6,3.31,<5,90,<0.5,<2,2.3,1.3,198,882,2800,0.28,3280,0.328,0.062,19,2.31,<5,11,220,<20,0.3,<10,10,77,<10,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,OVD022,45.4,45.5,OVD022-45.4,47156,Gabbro mineralized,x,,,,,x,Peridodite,,,0,OVD022,43873,47156,Altantsetseg,45,47,2,Gabbro mineralized,43873,0.04,0.03,0.04,2.1,3.64,<5,90,<0.5,3,2.46,1.4,217,859,3630,0.363,3620,0.362,0.063,15,2.64,<5,12,251,<20,0.31,<10,10,81,<10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,OVD022,55.6,55.7,OVD022-55.6,47157,Gabbro mineralized,x,,,,,x,Peridodite,,,0,OVD022,43878,47157,Altantsetseg,55,57,2,Gabbro mineralized,43878,0.03,0.03,0.04,1.9,3.83,5,50,<0.5,3,2.38,0.9,196,845,3330,0.333,3390,0.339,0.069,14,2.76,<5,13,108,<20,0.36,<10,<10,91,<10,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,OVD022,65.7,65.8,OVD022-65.7,47158,Gabbro mineralized,x,,,,,x,Peridodite,,,0,OVD022,43884,47158,Altantsetseg,65,67,2,Gabbro mineralized,43884,0.02,0.01,0.01,<0.5,4.39,7,90,<0.5,<2,3.53,0.6,118,800,683,0.0683,1345,0.1345,0.073,11,0.67,<5,15,298,<20,0.41,<10,<10,99,<10,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
